"Customer Name ","Customer SSN","Payment Amount","Payment Date","Who Makes the Sale"
"Ian Zechariah Brend","3213180","2000.72","2023-03-29","Adolphus Carmine Semarke"
"Sonny Moishe Langstaff","796789","3599.58","2023-05-25","Niki Liza Grimmett"
"Hedda  Cuesta","7094676","2307.05","2022-12-19","Giraldo  Kitchinghan"
"Kevon  Mackrell","163905","3226.54","2022-07-19","Aleta Robenia Eneas"
"Bert Park Dillon","7396324","3341.45","2023-01-11","Bernice  Dragonette"
"Bessy Cate Rosenbush","9280521","5494.51","2022-10-29","Yovonnda  Pena"
"Yalonda  Puttrell","1068250","5636.82","2022-06-10","Cacilie Myrilla Ralls"
"Wallis  Insworth","9369530","4949.06","2022-11-29","Hesther Hedwig Krzyzanowski"
"Atalanta  Sole","7888691","5229.63","2022-06-15","Saxe  Merrigans"
"Julissa  Yoselevitch","6625694","2873.74","2023-01-24","Robert  Mar"
"Erinn  Abrahami","13674","1450.56","2022-09-13","Alicia  Fosbraey"
"Early Martie Devon","3088224","1630.73","2023-03-09","Frederik Martin Blune"
"Karyn Fanya Beavington","6494162","6258.1","2022-10-03","Norean  Davydychev"
"Maisey  Das","633555","6655.68","2022-07-13","Matelda  Yeowell"
"Gerhardine  Leyshon","5481727","3496.44","2022-12-16","Levon Erich Beachem"
"Blanche Loise Edmundson","232468","5010.52","2022-09-30","Zebulon Kelley Cabrara"
"Dav  Monan","5738011","4111.59","2023-05-02","Sherrie Casi Sambeck"
"Lucian  Chew","3475011","2766.88","2022-07-30","Kellie Eimile Gargett"
"Ahmad Will Bramall","163276","2508.46","2022-12-22","Yale Wadsworth Fuzzard"
"Rock  Silby","8817653","6434.76","2023-01-15","Hayward  McMurty"
"Pietrek Orville Sutter","350173","5196.8","2022-07-11","Darla Ranique Hessle"
"Vivyan  Hobgen","8549323","3067.24","2022-11-04","Tucky See Bolin"
"Kaine Zacharie Tupling","9022394","5200.52","2023-02-13","Nicholas Brion Berceros"
"Jacenta Hilda Ashbe","4219345","1719.31","2022-08-01","Chariot  Hutchinson"
"Lancelot  Higounet","2401057","6856.17","2023-01-26","Theo Jase Coite"
"Ferdinande Jenilee Coale","5985270","4832.42","2022-10-15","Barclay  Cousin"
"Bobina Gusta Weatherby","8647870","3810.94","2023-05-11","Aleda Ermengarde Gresham"
"Ker  MacGaughey","9864445","3513.31","2022-12-22","Rubetta Gracia Christy"
